Case_ID,Timestamp,Type,Sensor,Label,Activity_ID
2022-09-05,2022-09-05 08:21:33.672539467,FloorSensor,sens1_D,D,57
2022-09-05,2022-09-05 08:22:03.672539467,FloorSensor,sens1_D,D,58
2022-09-05,2022-09-05 08:22:33.672539467,FloorSensor,sens1_D,D,59
2022-09-05,2022-09-05 08:23:03.672539467,FloorSensor,sens1_D,D,60
2022-09-05,2022-09-05 08:23:33.672539467,FloorSensor,sens1_D,D,61
2022-09-05,2022-09-05 08:26:28.743607277,FloorSensor,sens3_D,D,62
2022-09-05,2022-09-05 08:26:31.950714058,FloorSensor,sens2_D,D,63
2022-09-05,2022-09-05 08:27:01.950714058,FloorSensor,sens2_D,D,64
2022-09-05,2022-09-05 08:27:31.950714058,FloorSensor,sens2_D,D,65
2022-09-05,2022-09-05 08:28:01.950714058,FloorSensor,sens2_D,D,66
2022-09-05,2022-09-05 08:28:31.950714058,FloorSensor,sens2_D,D,67
2022-09-05,2022-09-05 08:29:01.950714058,FloorSensor,sens2_D,D,68
2022-09-05,2022-09-05 08:29:39.643102211,FloorSensor,sens4_B,B,69
2022-09-05,2022-09-05 08:29:42.471529335,FloorSensor,sens2_B,B,69
2022-09-05,2022-09-05 08:30:12.471529335,FloorSensor,sens2_B,B,70
2022-09-05,2022-09-05 08:30:42.471529335,FloorSensor,sens2_B,B,71
2022-09-05,2022-09-05 08:31:12.471529335,FloorSensor,sens2_B,B,72
2022-09-05,2022-09-05 08:31:29.507063240,FloorSensor,sens1_B,B,72
2022-09-05,2022-09-05 08:31:59.507063240,FloorSensor,sens1_B,B,73
2022-09-05,2022-09-05 08:32:29.507063240,FloorSensor,sens1_B,B,74
2022-09-05,2022-09-05 08:32:59.507063240,FloorSensor,sens1_B,B,75
2022-09-05,2022-09-05 08:34:34.371024269,FloorSensor,sens3_B,B,76
2022-09-05,2022-09-05 08:35:04.371024269,FloorSensor,sens3_B,B,77
2022-09-05,2022-09-05 08:35:34.371024269,FloorSensor,sens3_B,B,78
2022-09-05,2022-09-05 08:36:04.371024269,FloorSensor,sens3_B,B,79
2022-09-05,2022-09-05 08:36:18.684732765,FloorSensor,sense1_C,B,79
2022-09-05,2022-09-05 08:36:48.684732765,FloorSensor,sense1_C,C,80
2022-09-05,2022-09-05 08:37:18.684732765,FloorSensor,sense1_C,C,81
2022-09-05,2022-09-05 08:37:48.684732765,FloorSensor,sense1_C,C,82
2022-09-05,2022-09-05 08:38:18.684732765,FloorSensor,sense1_C,C,83
2022-09-05,2022-09-05 08:38:48.684732765,FloorSensor,sense1_C,C,84
2022-09-05,2022-09-05 08:39:18.684732765,FloorSensor,sense1_C,C,85
2022-09-05,2022-09-05 08:39:19.513159889,FloorSensor,sens4_C,C,85
2022-09-05,2022-09-05 08:40:27.377120918,FloorSensor,sens3_C,C,86
2022-09-05,2022-09-05 08:40:57.377120918,FloorSensor,sens3_C,C,87
2022-09-05,2022-09-05 08:41:27.377120918,FloorSensor,sens3_C,C,88
2022-09-05,2022-09-05 08:44:22.826868385,FloorSensor,sens2_C,C,89
2022-09-05,2022-09-05 08:44:52.826868385,FloorSensor,sens2_C,C,90
2022-09-05,2022-09-05 08:45:22.826868385,FloorSensor,sens2_C,C,91
2022-09-05,2022-09-05 08:45:52.826868385,FloorSensor,sens2_C,C,92
2022-09-05,2022-09-05 08:46:18.069509071,FloorSensor,sens4_C,C,93
2022-09-05,2022-09-05 08:46:21.897936195,PresenceSensor,door_C,C,93
2022-09-05,2022-09-05 08:46:29.347683662,PresenceSensor,door_A,C,93
2022-09-05,2022-09-05 08:46:34.969004005,FloorSensor,sens2_A,A,94
2022-09-05,2022-09-05 08:46:40.211644691,FloorSensor,sens1_A,A,94
2022-09-05,2022-09-05 08:48:20.625858253,FloorSensor,sens1_A,A,95
2022-09-05,2022-09-05 08:48:24.247178596,FloorSensor,sens3_A,A,95
2022-09-05,2022-09-05 08:48:54.247178596,FloorSensor,sens3_A,A,96
2022-09-05,2022-09-05 08:49:24.247178596,FloorSensor,sens3_A,A,97
2022-09-05,2022-09-05 08:49:54.247178596,FloorSensor,sens3_A,A,98
2022-09-05,2022-09-05 08:50:24.247178596,FloorSensor,sens3_A,A,99
2022-09-05,2022-09-05 08:50:34.868498939,FloorSensor,sens4_A,A,100
2022-09-05,2022-09-05 08:50:37.696926063,FloorSensor,sens2_A,A,100
2022-09-05,2022-09-05 08:53:29.318246406,FloorSensor,sens2_A,A,101
2022-09-05,2022-09-05 08:53:32.939566749,FloorSensor,sens4_A,A,102
2022-09-05,2022-09-05 08:54:02.939566749,FloorSensor,sens4_A,A,103
2022-09-05,2022-09-05 08:54:32.939566749,FloorSensor,sens4_A,A,104
2022-09-05,2022-09-05 08:55:02.939566749,FloorSensor,sens4_A,A,105
2022-09-06,2022-09-06 08:23:56.714894562,PresenceSensor,door_C,C,106
2022-09-06,2022-09-06 08:26:17.957535248,FloorSensor,sens2_C,C,107
2022-09-06,2022-09-06 08:26:47.957535248,FloorSensor,sens2_C,C,108
2022-09-06,2022-09-06 08:27:17.957535248,FloorSensor,sens2_C,C,109
2022-09-06,2022-09-06 08:27:47.957535248,FloorSensor,sens2_C,C,110
2022-09-06,2022-09-06 08:28:17.957535248,FloorSensor,sens2_C,C,111
2022-09-06,2022-09-06 08:30:04.235709839,FloorSensor,sens3_C,C,112
2022-09-06,2022-09-06 08:30:34.235709839,FloorSensor,sens3_C,C,113
2022-09-06,2022-09-06 08:31:04.235709839,FloorSensor,sens3_C,C,114
2022-09-06,2022-09-06 08:31:34.235709839,FloorSensor,sens3_C,C,115
2022-09-06,2022-09-06 08:32:04.235709839,FloorSensor,sens3_C,C,116
2022-09-06,2022-09-06 08:32:34.235709839,FloorSensor,sens3_C,C,117
