2022-09-02,2022-09-02T08:10:53.907781562,PresenceSensor,door_C
2022-09-02,2022-09-02T08:10:57.529101905,FloorSensor,sens4_C
2022-09-02,2022-09-02T08:13:30.564635810,FloorSensor,sens4_C
2022-09-02,2022-09-02T08:16:01.771742591,FloorSensor,sens4_C
2022-09-02,2022-09-02T08:16:04.600169715,FloorSensor,sens2_C
2022-09-02,2022-09-02T08:16:34.600169715,FloorSensor,sens2_C
2022-09-02,2022-09-02T08:17:04.600169715,FloorSensor,sens2_C
2022-09-02,2022-09-02T08:17:34.600169715,FloorSensor,sens2_C
2022-09-02,2022-09-02T08:18:04.600169715,FloorSensor,sens2_C
2022-09-02,2022-09-02T08:18:29.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:18:59.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:19:29.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:19:59.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:20:29.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:20:59.221490058,FloorSensor,sens3_C
2022-09-02,2022-09-02T08:21:20.257023963,FloorSensor,sens4_C
2022-09-02,2022-09-02T08:21:23.085451087,FloorSensor,sense1_C
2022-09-02,2022-09-02T08:21:53.085451087,FloorSensor,sense1_C
2022-09-02,2022-09-02T08:22:23.085451087,FloorSensor,sense1_C
2022-09-02,2022-09-02T08:22:53.085451087,FloorSensor,sense1_C
2022-09-03,2022-09-03T08:13:10.261864562,PresenceSensor,door_C
2022-09-03,2022-09-03T08:13:13.883184905,FloorSensor,sens4_C
2022-09-03,2022-09-03T08:13:18.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:13:48.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:14:18.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:14:48.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:15:18.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:15:48.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:16:18.125825591,FloorSensor,sens2_C
2022-09-03,2022-09-03T08:16:21.161359496,FloorSensor,sens3_C
2022-09-03,2022-09-03T08:16:51.161359496,FloorSensor,sens3_C
2022-09-03,2022-09-03T08:17:21.161359496,FloorSensor,sens3_C
2022-09-03,2022-09-03T08:17:51.161359496,FloorSensor,sens3_C
2022-09-03,2022-09-03T08:20:48.782679839,FloorSensor,sens4_C
2022-09-03,2022-09-03T08:23:28.404000182,FloorSensor,sense1_C
2022-09-03,2022-09-03T08:23:58.404000182,FloorSensor,sense1_C
2022-09-03,2022-09-03T08:24:28.404000182,FloorSensor,sense1_C
2022-09-03,2022-09-03T08:24:46.060854430,PresenceSensor,door_B
2022-09-03,2022-09-03T08:24:53.510601897,FloorSensor,sens2_A
2022-09-03,2022-09-03T08:24:58.546135802,FloorSensor,sens1_A
2022-09-03,2022-09-03T08:27:58.788776488,FloorSensor,sens3_A
2022-09-03,2022-09-03T08:28:28.788776488,FloorSensor,sens3_A
2022-09-03,2022-09-03T08:28:58.788776488,FloorSensor,sens3_A
2022-09-03,2022-09-03T08:29:28.788776488,FloorSensor,sens3_A
2022-09-03,2022-09-03T08:29:58.788776488,FloorSensor,sens3_A
2022-09-03,2022-09-03T08:30:28.788776488,FloorSensor,sens3_A
