Start Time,End Time,door_A,sens3_A,sens4_A,sens2_A,sens1_A,door_B,sens4_B,sens3_B,sens2_B,sens1_B,door_C,sens4_C,sens2_C,sens3_C,sense1_C,door_D,sens1_D,sens3_D,sens2_D,sens4_D,Label
2022-09-03 08:12:18.122589802,2022-09-03 08:12:18.122589802,,,,,,,,,,1,,,,,,,,,,,B
2022-09-03 08:12:48.122589802,2022-09-03 08:12:48.122589802,,,,,,,,,,1,,,,,,,,,,,B
2022-09-03 08:13:18.122589802,2022-09-03 08:13:18.122589802,,,,,,,,,,1,,,,,,,,,,,B
2022-09-03 08:13:46.572337269,2022-09-03 08:13:46.572337269,,,,,,,,1,,,,,,,,,,,,,B
2022-09-03 08:14:16.572337269,2022-09-03 08:14:16.572337269,,,,,,,,1,,,,,,,,,,,,,B
2022-09-03 08:14:46.572337269,2022-09-03 08:14:46.572337269,,,,,,,,1,,,,,,,,,,,,,B
2022-09-03 08:15:16.572337269,2022-09-03 08:15:16.572337269,,,,,,,,1,,,,,,,,,,,,,B
2022-09-03 08:15:37.193657612,2022-09-03 08:15:37.193657612,,,,,,,,,1,,,,,,,,,,,,B
2022-09-03 08:16:07.193657612,2022-09-03 08:16:07.193657612,,,,,,,,,1,,,,,,,,,,,,B
2022-09-03 08:16:37.193657612,2022-09-03 08:16:57.229191517,,,,,,,1,,1,,,,,,,,,,,,B
2022-09-03 08:17:05.093152546,2022-09-03 08:17:05.093152546,,,,,,,,,,,1,,,,,,,,,,C
2022-09-03 08:19:26.921579670,2022-09-03 08:19:26.921579670,,,,,,,,,,,,,,1,,,,,,,C
2022-09-03 08:19:56.921579670,2022-09-03 08:19:56.921579670,,,,,,,,,,,,,,1,,,,,,,C
2022-09-03 08:20:26.921579670,2022-09-03 08:20:26.921579670,,,,,,,,,,,,,,1,,,,,,,C
2022-09-03 08:20:42.542900013,2022-09-03 08:20:42.542900013,,,,,,,,,,,,,1,,,,,,,,C
2022-09-03 08:21:12.542900013,2022-09-03 08:21:12.542900013,,,,,,,,,,,,,1,,,,,,,,C
2022-09-03 08:21:42.542900013,2022-09-03 08:21:42.542900013,,,,,,,,,,,,,1,,,,,,,,C
2022-09-03 08:22:12.542900013,2022-09-03 08:22:12.542900013,,,,,,,,,,,,,1,,,,,,,,C
2022-09-03 08:22:42.542900013,2022-09-03 08:22:42.542900013,,,,,,,,,,,,,1,,,,,,,,C
2022-09-03 08:24:02.578433918,2022-09-03 08:24:02.578433918,,,,,,,,,,,,,,,1,,,,,,C
2022-09-03 08:24:32.578433918,2022-09-03 08:24:32.578433918,,,,,,,,,,,,,,,1,,,,,,C
2022-09-03 08:25:02.578433918,2022-09-03 08:25:02.578433918,,,,,,,,,,,,,,,1,,,,,,C
2022-09-03 08:25:32.578433918,2022-09-03 08:25:32.578433918,,,,,,,,,,,,,,,1,,,,,,C
2022-09-03 08:26:00.199754261,2022-09-03 08:26:14.513462757,,,,,,,,,,,1,1,,,,,,,1,,C
2022-09-03 08:26:44.513462757,2022-09-03 08:26:44.513462757,,,,,,,,,,,,,,,,,,,1,,D
2022-09-03 08:27:14.513462757,2022-09-03 08:27:14.513462757,,,,,,,,,,,,,,,,,,,1,,D
2022-09-03 08:27:44.513462757,2022-09-03 08:27:44.513462757,,,,,,,,,,,,,,,,,,,1,,D
